Run,D50/a,L/a,dt/a,F,Fd,ds/a
7R3,0.4424,40,11.28,4.097909763,4.796372007,3.28
7R4,0.4424,40,10.208,3.855176432,4.512266348,2.96
7R5,0.368666667,26.66666667,10.86666667,3.154316278,4.044327615,3.2
7R6,0.368666667,26.66666667,9.066666667,2.580804227,3.308995322,2.466666667
7R7,0.4424,32,11.28,4.097909763,4.796372007,3.6
7R8,0.4424,32,10.208,3.855176432,4.512266348,3.2
1R26,0.053333333,33.33333333,9.933333333,3.154316278,10.633198,4.066666667
1R27,0.053333333,33.33333333,9.266666667,3.154316278,10.633198,4.166666667
1R28,0.053333333,33.33333333,8.673333333,3.154316278,10.633198,4.433333333
1R29,0.053333333,33.33333333,7.986666667,3.154316278,10.633198,4.466666667
1R30,0.053333333,33.33333333,12.06666667,3.154316278,10.633198,4.6
1R31,0.053333333,33.33333333,10.1,2.580804227,8.699889275,3.433333333
1R32,0.053333333,33.33333333,8.446666667,2.580804227,8.699889275,3.833333333
1R33,0.053333333,33.33333333,7.72,2.580804227,8.699889275,4.2
1R34,0.053333333,33.33333333,6.966666667,2.580804227,8.699889275,4
1R35,0.053333333,33.33333333,11,2.580804227,8.699889275,3.733333333
1R36,0.053333333,26.66666667,9.126666667,3.154316278,10.633198,4.633333333
1R37,0.053333333,26.66666667,10.06666667,3.154316278,10.633198,4.133333333
1R38,0.053333333,26.66666667,8.62,3.154316278,10.633198,4.626666667
1R39,0.053333333,26.66666667,7.96,3.154316278,10.633198,4.8
1R40,0.053333333,26.66666667,11.98,3.154316278,10.633198,5
1R41,0.053333333,26.66666667,10.15333333,2.580804227,8.699889275,4
1R42,0.053333333,26.66666667,8.386666667,2.580804227,8.699889275,3.966666667
1R43,0.053333333,26.66666667,7.493333333,2.580804227,8.699889275,4
1R44,0.053333333,26.66666667,6.573333333,2.580804227,8.699889275,6
1R45,0.053333333,26.66666667,11.15333333,2.580804227,8.699889275,3.933333333
1R46,0.064,40,9.44,4.097909763,12.61044557,5.6
1R47,0.064,40,11.84,4.097909763,12.61044557,5.32
1R48,0.064,40,12.16,4.097909763,12.61044557,5.6
1R49,0.064,40,13.52,4.097909763,12.61044557,5.76
1R50,0.064,40,13.856,4.097909763,12.61044557,5.84
1R51,0.064,40,9.848,3.855176432,11.86348537,5.52
1R52,0.064,40,10.296,3.855176432,11.86348537,5.56
1R53,0.064,40,12.976,3.855176432,11.86348537,5.12
1R54,0.064,40,12.08,3.855176432,11.86348537,4.8
1R55,0.064,40,13.76,3.855176432,11.86348537,5.2
1R56,0.064,32,12.08,4.097909763,12.61044557,5.36
1R57,0.064,32,9.784,4.097909763,12.61044557,6.24
1R58,0.064,32,11.176,4.097909763,12.61044557,5.52
1R59,0.064,32,13.544,4.097909763,12.61044557,6.4
1R60,0.064,32,13.712,4.097909763,12.61044557,6.24
1R61,0.064,32,10.368,3.855176432,11.86348537,5.84
1R62,0.064,32,10.608,3.855176432,11.86348537,5.68
1R63,0.064,32,12.904,3.855176432,11.86348537,5.72
1R64,0.064,32,12.112,3.855176432,11.86348537,5.6
1R65,0.064,32,13.496,3.855176432,11.86348537,5.88
2R26,0.124,33.33333333,9.933333333,3.154316278,6.973525967,3.933333333
2R27,0.124,33.33333333,9.266666667,3.154316278,6.973525967,3.613333333
2R28,0.124,33.33333333,8.673333333,3.154316278,6.973525967,4.266666667
2R29,0.124,33.33333333,7.986666667,3.154316278,6.973525967,3.533333333
2R30,0.124,33.33333333,12.06666667,3.154316278,6.973525967,4.14
2R31,0.124,33.33333333,10.1,2.580804227,5.705612155,3
2R32,0.124,33.33333333,8.446666667,2.580804227,5.705612155,3.74
2R33,0.124,33.33333333,7.72,2.580804227,5.705612155,3.666666667
2R34,0.124,33.33333333,6.966666667,2.580804227,5.705612155,3.133333333
2R35,0.124,33.33333333,11,2.580804227,5.705612155,3.933333333
2R36,0.124,26.66666667,9.126666667,3.154316278,6.973525967,4.36
2R37,0.124,26.66666667,10.06666667,3.154316278,6.973525967,3.766666667
2R38,0.124,26.66666667,8.62,3.154316278,6.973525967,4
2R39,0.124,26.66666667,7.96,3.154316278,6.973525967,4.333333333
2R40,0.124,26.66666667,11.98,3.154316278,6.973525967,4.326666667
2R41,0.124,26.66666667,10.15333333,2.580804227,5.705612155,3.586666667
2R42,0.124,26.66666667,8.386666667,2.580804227,5.705612155,3.466666667
2R43,0.124,26.66666667,7.493333333,2.580804227,5.705612155,3.666666667
2R44,0.124,26.66666667,6.573333333,2.580804227,5.705612155,3.333333333
2R45,0.124,26.66666667,11.15333333,2.580804227,5.705612155,3.853333333
2R46,0.1488,40,9.44,4.097909763,8.270256002,4.8
2R47,0.1488,40,11.84,4.097909763,8.270256002,4.88
2R48,0.1488,40,12.16,4.097909763,8.270256002,4.8
2R49,0.1488,40,13.52,4.097909763,8.270256002,4.96
2R50,0.1488,40,13.856,4.097909763,8.270256002,5.28
2R51,0.1488,40,9.848,3.855176432,7.780380211,4.8
2R52,0.1488,40,10.296,3.855176432,7.780380211,4.8
2R53,0.1488,40,12.976,3.855176432,7.780380211,5.12
2R54,0.1488,40,12.08,3.855176432,7.780380211,4.64
2R55,0.1488,40,13.76,3.855176432,7.780380211,5.12
2R56,0.1488,32,12.08,4.097909763,8.270256002,5.12
2R57,0.1488,32,9.784,4.097909763,8.270256002,4.72
2R58,0.1488,32,11.176,4.097909763,8.270256002,5.04
2R59,0.1488,32,13.544,4.097909763,8.270256002,5.44
2R60,0.1488,32,13.712,4.097909763,8.270256002,5.6
2R61,0.1488,32,10.368,3.855176432,7.780380211,4.8
2R62,0.1488,32,10.608,3.855176432,7.780380211,4.4
2R63,0.1488,32,12.904,3.855176432,7.780380211,5.2
2R64,0.1488,32,12.112,3.855176432,7.780380211,4.96
2R65,0.1488,32,13.496,3.855176432,7.780380211,5.44
1P1,0.08,55,12.77,4.868950283,13.40134459,5.9
1P2,0.053333333,33.33333333,10.86666667,3.154316278,10.633198,3.933333333
1P3,0.064,40,11.28,4.097909763,12.61044557,4.96
1P4,0.08,50,12.27,4.757203883,13.09377275,6.1
1P5,0.053333333,26.66666667,10.86666667,3.154316278,10.633198,5.1
1P6,0.064,32,11.28,4.097909763,12.61044557,5.52
1P7,0.08,40,12.27,4.757203883,13.09377275,6.4
2P1,0.186,55,12.77,4.868950283,8.788948016,3.9
2P2,0.124,33.33333333,10.86666667,3.154316278,6.973525967,3.533333333
2P3,0.1488,40,11.28,4.097909763,8.270256002,4.16
2P4,0.186,50,12.27,4.757203883,8.587234455,5.9
2P5,0.124,26.66666667,10.86666667,3.154316278,6.973525967,3.933333333
2P6,0.1488,32,11.28,4.097909763,8.270256002,4.96
